day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736368.6840625,37.90572983333333,N,107.7077255,W,1,8,0.68,3346.0
736368.684074074,37.905729,N,107.70772483333333,W,1,8,0.68,3346.0
736368.6840856482,37.90572866666667,N,107.70772333333333,W,1,8,0.68,3346.0
736368.6840972222,37.90572783333333,N,107.707723,W,1,8,0.66,3345.8
736368.6841087963,37.905726333333334,N,107.7077225,W,1,8,0.66,3345.5
736368.6841203704,37.90572616666667,N,107.70772166666667,W,1,8,0.63,3345.5
736368.6841319444,37.905726666666666,N,107.70772233333334,W,1,8,0.66,3345.3
736368.6841435186,37.90572683333333,N,107.70772266666667,W,1,8,0.66,3345.1
736368.6841550926,37.90572683333333,N,107.70772283333334,W,1,8,0.66,3345.0
736368.6841666667,37.905726,N,107.70772333333333,W,1,8,0.66,3345.0
736368.6841782407,37.905725833333335,N,107.70772383333333,W,1,8,0.66,3344.8
736368.6841898148,37.905725833333335,N,107.70772433333333,W,1,8,0.66,3344.9
736368.6842013889,37.905725333333336,N,107.70772533333333,W,1,8,0.66,3344.8
736368.684212963,37.90572516666667,N,107.70772616666666,W,1,8,0.66,3344.9
736368.684224537,37.905725333333336,N,107.70772666666667,W,1,8,0.68,3345.0
736368.6842361111,37.905724666666664,N,107.70772716666667,W,1,8,0.68,3344.9
736368.6842476851,37.905724166666666,N,107.70772733333334,W,1,8,0.7,3345.0
736368.6842592593,37.9057235,N,107.707727,W,1,8,0.7,3345.0
736368.6842708334,37.905723,N,107.70772666666667,W,1,8,0.7,3345.0
736368.6842824074,37.905722833333336,N,107.70772583333333,W,1,8,0.7,3344.9
736368.6842939815,37.9057225,N,107.70772466666666,W,1,8,0.65,3345.0
736368.6843055555,37.9057215,N,107.707724,W,1,8,0.65,3345.2
736368.6843171297,37.90572066666667,N,107.70772333333333,W,1,8,0.65,3345.5
736368.6843287037,37.905719500000004,N,107.70772283333334,W,1,8,0.65,3345.8
736368.6843402778,37.905718666666665,N,107.70772166666667,W,1,8,0.65,3346.1
736368.6843518518,37.90571816666667,N,107.7077205,W,1,8,0.65,3346.3
736368.684363426,37.90571766666667,N,107.7077185,W,1,8,0.65,3346.6
736368.684375,37.90571716666667,N,107.70771633333334,W,1,8,0.65,3346.8
736368.6843865741,37.90571683333334,N,107.70771466666666,W,1,8,0.65,3347.0
736368.6843981481,37.905717,N,107.70771233333333,W,1,8,0.65,3347.2
736368.6844097222,37.905717333333335,N,107.7077105,W,1,8,0.65,3347.4
736368.6844212963,37.9057175,N,107.70770866666666,W,1,8,0.65,3347.6
736368.6844328704,37.905718,N,107.707706,W,1,8,0.63,3347.6
736368.6844444445,37.90571816666667,N,107.707704,W,1,8,0.63,3347.7
736368.6844560185,37.90571833333333,N,107.70770216666666,W,1,8,0.63,3347.8
736368.6844675926,37.905718666666665,N,107.7077005,W,1,8,0.63,3347.9
736368.6844791666,37.90571883333333,N,107.70769883333334,W,1,8,0.63,3348.1
736368.6844907408,37.905718666666665,N,107.70769733333333,W,1,8,0.63,3348.2
736368.6845023148,37.905718666666665,N,107.70769633333333,W,1,8,0.63,3348.3
736368.6845138889,37.905718666666665,N,107.70769533333333,W,1,8,0.63,3348.4
736368.6845254629,37.905719166666664,N,107.70769466666667,W,1,8,0.66,3348.4
736368.684537037,37.905719500000004,N,107.70769416666667,W,1,8,0.66,3348.5
736368.684548611,37.90571966666667,N,107.70769383333334,W,1,8,0.66,3348.5
736368.6845601852,37.90572,N,107.70769383333334,W,1,8,0.63,3348.5
736368.6845717593,37.90572083333333,N,107.707694,W,1,8,0.63,3348.6
736368.6845833333,37.90572133333333,N,107.70769416666667,W,1,8,0.63,3348.6
736368.6845949074,37.9057215,N,107.70769433333334,W,1,8,0.63,3348.6
736368.6846064815,37.90572183333333,N,107.70769433333334,W,1,8,0.63,3348.6
736368.6846180556,37.905722,N,107.70769416666667,W,1,8,0.63,3348.6
736368.6846296296,37.90572216666666,N,107.70769366666667,W,1,8,0.63,3348.6
736368.6846412037,37.9057225,N,107.707693,W,1,8,0.63,3348.6
736368.6846527777,37.90572266666667,N,107.70769166666666,W,1,8,0.63,3348.7
736368.6846643519,37.905723,N,107.707691,W,1,8,0.66,3348.7
736368.6846759259,37.9057235,N,107.7076905,W,1,8,0.66,3348.8
736368.6846875,37.9057235,N,107.70769,W,1,8,0.66,3349.0
736368.684699074,37.905723333333334,N,107.70768966666667,W,1,8,0.66,3349.1
736368.6847106481,37.905723333333334,N,107.70768933333333,W,1,8,0.66,3349.2
736368.6847222223,37.905723,N,107.70768883333334,W,1,8,0.66,3349.3
736368.6847337963,37.905722833333336,N,107.70768866666667,W,1,8,0.67,3349.3
736368.6847453704,37.905723,N,107.707689,W,1,8,0.66,3349.3
736368.6847569444,37.905723333333334,N,107.70768966666667,W,1,8,0.66,3349.4
736368.6847685185,37.90572383333333,N,107.70769,W,1,8,0.66,3349.2
736368.6847800926,37.90572433333333,N,107.70768983333333,W,1,8,0.66,3349.1
736368.6847916667,37.9057245,N,107.70769016666667,W,1,8,0.63,3349.1
736368.6848032407,37.905724666666664,N,107.70769083333333,W,1,8,0.63,3349.2
736368.6848148148,37.905725,N,107.7076915,W,1,8,0.63,3349.2
736368.6848263888,37.90572516666667,N,107.70769183333333,W,1,8,0.63,3349.3
736368.684837963,37.90572516666667,N,107.70769233333333,W,1,8,0.63,3349.3
736368.6848495371,37.90572483333333,N,107.70769266666667,W,1,8,0.63,3349.3
736368.6848611111,37.90572433333333,N,107.70769333333334,W,1,8,0.66,3349.3
736368.6848726852,37.905724,N,107.707694,W,1,8,0.67,3349.3
736368.6848842592,37.905723333333334,N,107.70769433333334,W,1,8,0.67,3349.4
736368.6848958334,37.9057225,N,107.70769466666667,W,1,8,0.64,3349.5
736368.6849074074,37.905721666666665,N,107.707695,W,1,8,0.64,3349.6
736368.6849189815,37.9057205,N,107.70769533333333,W,1,8,0.64,3349.7
736368.6849305555,37.90571933333333,N,107.70769583333333,W,1,8,0.64,3349.7
736368.6849421297,37.9057185,N,107.707696,W,1,8,0.64,3349.9
736368.6849537037,37.90571766666667,N,107.7076965,W,1,8,0.64,3350.0
736368.6849652778,37.90571716666667,N,107.707696,W,1,8,0.66,3350.3
736368.6849768518,37.905716,N,107.70769633333333,W,1,8,0.64,3350.4
736368.6849884259,37.905715,N,107.70769633333333,W,1,8,0.64,3350.5
736368.685,37.9057145,N,107.70769683333333,W,1,8,0.63,3350.5
736368.6850115741,37.905714,N,107.70769783333333,W,1,8,0.63,3350.5
